Trial ID,"Author, Year",Title,Journal
ACQUIRE,"Genovese, 2011",Subcutaneous abatacept versus intravenous abatacept: A phase iiib noninferiority study in patients with an inadequate response to MTX,Arthritis and Rheumatism
ACT-RAY,"Dougados, 2013",Adding tocilizumab or switching to tocilizumab monotherapy in methotrexate inadequate responders: 24-week symptomatic and structural results of a 2-year randomised controlled strategy trial in rheumatoid arthritis (act-ray),Annals of the Rheumatic Diseases
,"Dougados, 2014","Clinical, radiographic and immunogenic effects after 1 year of tocilizumab-based treatment strategies in rheumatoid arthritis: The act-ray study",Annals of the Rheumatic Diseases
ACT-STAR,"Weinblatt, 2013","Tocilizumab as monotherapy or in combination with nonbiologic disease-modifying antirheumatic drugs: Twenty-four-week results of an open-label, clinical practice study",Arthritis Care and Research
ADACTA,"Gabay, 2013","Tocilizumab monotherapy versus adalimumab monotherapy for treatment of rheumatoid arthritis (adacta): A randomised, double-blind, controlled phase 4 trial",Lancet
AIM,"Kremer, 2006",Effects of abatacept in patients with methotrexate-resistant active rheumatoid arthritis: A randomized trial,Annals of Internal Medicine
AMPLE,"Weinblatt, 2013","Head-to-head comparison of subcutaneous abatacept versus adalimumab for rheumatoid arthritis: Findings of a phase iiib, multinational, prospective, randomized study",Arthritis and Rheumatism
ARMADA,"Weinblatt, 2003","Adalimumab, a fully human anti-tumor necrosis factor alpha monoclonal antibody, for the treatment of rheumatoid arthritis in patients taking concomitant methotrexate: The armada trial",Arthritis and Rheumatism
ASCERTAIN,"Emery, 2018",Safety and tolerability of subcutaneous sarilumab and intravenous tocilizumab in patients with rheumatoid arthritis,Rheumatology
ATTAIN,"Emery, 2005",Abatacept has beneficial effects in rheumatoid arthritis patients with an inadequate response to anti-tnfalpha therapy,Clinical and Experimental Rheumatology
,"Genovese, 2005",Abatacept for rheumatoid arthritis refractory to tumor necrosis factor alpha inhibition,New England Journal of Medicine
,"Westhovens, 2006","Improved health-related quality of life for rheumatoid arthritis patients treated with abatacept who have inadequate response to anti-tnf therapy in a double-blind, placebo-controlled, multicentre randomized clinical trial",Rheumatology
ATTAIN;AIM,"Wells, 2009","Validation of the 28-joint disease activity score (das28) and european league against rheumatism response criteria based on c-reactive protein against disease progression in patients with rheumatoid arthritis, and comparison with the das28 based on erythrocyte sedimentation rate",Annals of the Rheumatic Diseases
ATTEST,"Schiff, 2008","Efficacy and safety of abatacept or infliximab vs placebo in attest: A phase iii, multi-centre, randomised, double-blind, placebo-controlled study in patients with rheumatoid arthritis and an inadequate response to methotrexate",Annals of the Rheumatic Diseases
ATTRACT,"Lipsky, 2000",Infliximab and methotrexate in the treatment of rheumatoid arthritis. Anti-tumor necrosis factor trial in rheumatoid arthritis with concomitant therapy study group,New England Journal of Medicine
,"Maini, 2004","Sustained improvement over two years in physical function, structural damage, and signs and symptoms among patients with rheumatoid arthritis treated with and methotrexate",Arthritis and Rheumatism
,"Maini, 1999",Infliximab (chimeric anti-tumour necrosis factor alpha monoclonal antibody) versus placebo in rheumatoid arthritis patients receiving concomitant methotrexate: A randomised phase iii trial. Attract study group,Lancet
Bao 2011,"Bao et al, 2011",Secondary failure to treatment with recombinant human il-1 receptor antagonist in chinese patients with rheumatoid arthritis,Clinical Rheumatology
BREVACTA,"Kivitz, 2014",Subcutaneous tocilizumab versus placebo in combination with disease-modifying antirheumatic drugs in patients with rheumatoid arthritis,Arthritis Care and Research
CHANGE,"Miyasaka, 2008",Clinical investigation in highly disease-affected rheumatoid arthritis patients in japan with adalimumab applying standard and general evaluation: The change study,Modern Rheumatology
Choy 2012,"Choy, 2012",Certolizumab pegol plus mtx administered every 4 weeks is effective in patients with ra who are partial responders to mtx,Rheumatology
Cohen 2002,"Cohen et al, 2002","Treatment of rheumatoid arthritis with anakinra, a recombinant human interleukin-1 receptor antagonist, in combination with methotrexate: Results of a twenty-four-week, multicenter, randomized, double-blind, placebo-controlled trial",Arthritis and Rheumatism
,"Cohen et al, 2003",Interleukin 1 receptor antagonist anakinra improves functional status in patients with rheumatoid arthritis,Journal of Rheumatology
Cohen 2004,"Cohen et al, 2004","A multicentre, double blind, randomised, placebo controlled trial of anakinra (kineret), a recombinant interleukin 1 receptor antagonist, in patients with rheumatoid arthritis treated with background methotrexate",Annals of the Rheumatic Diseases
Cohen 2017,"Cohen, 2017","Efficacy and safety of the biosimilar abp 501 compared with adalimumab in patients with moderate to severe rheumatoid arthritis: A randomised, double-blind, phase iii equivalence study",Annals of the Rheumatic Diseases
Cohen 2018,"Cohen, 2018",A randomized controlled trial comparing pf-06438179/gp1111 (an infliximab biosimilar) and infliximab reference product for treatment of moderate to severe active rheumatoid arthritis despite methotrexate therapy,Arthritis Research and Therapy
Combe 2006,"Combe, 2009","Efficacy, safety and patient-reported outcomes of combination etanercept and sulfasalazine versus etanercept alone in patients with rheumatoid arthritis: A double-blind randomised 2-year study",Annals of the Rheumatic Diseases
DANCER,"Emery, 2006","The efficacy and safety of rituximab in patients with active rheumatoid arthritis despite methotrexate treatment: Results of a phase iib randomized, double-blind, placebo-controlled, dose-ranging trial",Arthritis and Rheumatism
,"Mease, 2008",Improved health-related quality of life for patients with active rheumatoid arthritis receiving rituximab: Results of the dose-ranging assessment: International clinical evaluation of rituximab in rheumatoid arthritis (dancer) trial,Journal of rheumatology
De Filippis 2006,"De Filippis, 2006",Improving outcomes in tumour necrosis factor a treatment: Comparison of the efficacy of the tumour necrosis factor a blocking agents etanercept and infliximab in patients with active rheumatoid arthritis,Panminerva Medica
DE019,"Keystone, 2004","Radiographic, clinical, and functional outcomes of treatment with adalimumab (a human anti-tumor necrosis factor monoclonal antibody) in patients with active rheumatoid arthritis receiving concomitant methotrexate therapy: A randomized, placebo-controlled, 52-week trial",Arthritis and Rheumatism
Edwards 2004,"Edwards, 2004",Efficacy of b-cell-targeted therapy with rituximab in patients with rheumatoid arthritis,New England Journal of Medicine
Elmedany 2019,"Elmedany, 2019",Efficacy and safety profile of intravenous tocilizumab versus intravenous abatacept in treating female saudi arabian patients with active moderate-to-severe rheumatoid arthritis,Clinical Rheumatology
Emery 2017,"Emery, 2017","A phase iii randomised, double-blind, parallel-group study comparing sb4 with etanercept reference product in patients with active rheumatoid arthritis despite methotrexate therapy",Annals of the Rheumatic Diseases
EQUIRA,"Matucci-Cerinic, 2018","Efficacy, safety and immunogenicity of gp2015, an etanercept biosimilar, compared with the reference etanercept in patients with moderate-to-severe rheumatoid arthritis: 24-week results from the comparative phase iii, randomised, double-blind equira study",Rheumatic and Musculoskeletal Diseases
ETN Study 309,"Combe, 2006","Etanercept and sulfasalazine, alone and combined, in patients with active rheumatoid arthritis despite receiving sulfasalazine: A double-blind comparison",Annals of the Rheumatic Diseases
FAST4WARD,"Fleischmann, 2009",Efficacy and safety of certolizumab pegol monotherapy every 4 weeks in patients with rheumatoid arthritis failing previous disease-modifying antirheumatic therapy: The fast4ward study,Annals of the Rheumatic Diseases
Fleischmann 2012,"Fleischmann, 2012","Phase iib dose-ranging study of the oral jak inhibitor tofacitinib (cp-690,550) or adalimumab monotherapy versus placebo in patients with active rheumatoid arthritis with an inadequate response to disease-modifying antirheumatic drugs",Arthritis and Rheumatism
,"Wallenstein, 2016",Effects of the oral janus kinase inhibitor tofacitinib on patient-reported outcomes in patients with active rheumatoid arthritis: Results of two phase 2 randomised controlled trials,Clinical and Experimental Rheumatology
Fleischmann 2018,"Fleischmann, 2018","A comparative clinical study of pf-06410293, a candidate adalimumab biosimilar, and adalimumab reference product (humira) in the treatment of active rheumatoid arthritis",Arthritis Research and Therapy
GO AFTER,"Smolen, 2015","Golimumab in patients with active rheumatoid arthritis after treatment with tumor necrosis factor alpha inhibitors: Findings with up to five years of treatment in the multicenter, randomized, double-blind, placebo-controlled, phase 3 go-after study",Arthritis Research and Therapy
GO FURTHER,"Bingham, 2014",The effect of intravenous golimumab on health-related quality of life in rheumatoid arthritis: 24-week results of the phase iii go-further trial,Journal of Rheumatology
GO-AFTER,"Smolen, 2009","Golimumab in patients with active rheumatoid arthritis after treatment with tumour necrosis factor alpha inhibitors (go-after study): A multicentre, randomised, double-blind, placebo-controlled, phase iii trial",Lancet
,"Smolen, 2013",Insights into the efficacy of golimumab plus methotrexate in patients with active rheumatoid arthritis who discontinued prior anti-tumour necrosis factor therapy: Post-hoc analyses from the go-after study,Annals of the Rheumatic Diseases
GO-FORTH,"Tanaka, 2012",Golimumab in combination with methotrexate in japanese patients with active rheumatoid arthritis: Results of the go-forth study,Annals of the Rheumatic Diseases
,"Tanaka, 2016","Clinical efficacy, radiographic progression, and safety through 156 weeks of therapy with subcutaneous golimumab in combination with methotrexate in japanese patients with active rheumatoid arthritis despite prior methotrexate therapy: Final results of the randomized go-forth trial",Modern rheumatology
GO-FORWARD,"Genovese, 2012",Effect of golimumab on patient-reported outcomes in rheumatoid arthritis: Results from the go-forward study,Journal of rheumatology
,"Keystone, 2009","Golimumab, a human antibody to tumour necrosis factor {alpha} given by monthly subcutaneous injections, in active rheumatoid arthritis despite methotrexate therapy: The go-forward study",Annals of the Rheumatic Diseases
,"Keystone, 2010",Golimumab in patients with active rheumatoid arthritis despite methotrexate therapy: 52-week results of the go-forward study,Annals of the Rheumatic Diseases
GO-FURTHER,"Weinblatt, 2013","Intravenous golimumab is effective in patients with active rheumatoid arthritis despite methotrexate therapy with responses as early as week 2: Results of the phase 3, randomised, multicentre, double-blind, placebo-controlled go-further trial",Annals of the Rheumatic Diseases
GO-LIVE,"Kremer, 2010","Golimumab, a new human anti-tumor necrosis factor alpha antibody, administered intravenously in patients with active rheumatoid arthritis: Forty-eight-week efficacy and safety results of a phase iii randomized, double-blind, placebo-controlled study",Arthritis and Rheumatism
,"Weinblatt, 2013","Radiographic benefit and maintenance of clinical benefit with intravenous golimumab therapy in patients with active rheumatoid arthritis despite methotrexate therapy: Results up to 1 year of the phase 3, randomised, multicentre, double blind, placebo controlled go-further trial",Annals of the Rheumatic Diseases
GO-SAVE,"Huffstutter, 2017",Clinical response to golimumab in rheumatoid arthritis patients who were receiving etanercept or adalimumab: Results of a multicenter active treatment study,Current Medical Research and Opinion
HERA,"Bae, 2017","A phase iii, multicentre, randomised, double-blind, active-controlled, parallel-group trial comparing safety and efficacy of hd203, with innovator etanercept, in combination with methotrexate, in patients with rheumatoid arthritis: The hera study",Annals of the Rheumatic Diseases
HIKARI,"Yamamoto, 2014","Efficacy and safety of certolizumab pegol without methotrexate co-administration in japanese patients with active rheumatoid arthritis: The hikari randomized, placebo-controlled trial",Modern rheumatology
Iwahashi 2014,"Iwahashi, 2014","Efficacy, safety, pharmacokinetics and immunogenicity of abatacept administered subcutaneously or intravenously in japanese patients with rheumatoid arthritis and inadequate response to methotrexate: A phase ii/iii, randomized study",Modern rheumatology
Janmshidi 2017,"Jamshidi, 2017","A phase iii, randomized, two-armed, double-blind, parallel, active controlled, and non-inferiority clinical trial to compare efficacy and safety of biosimilar adalimumab (cinnora(r)) to the reference product (humira(r)) in patients with active rheumatoid arthritis",Arthritis Research and Therapy
JESMR,"Kameda, 2010",Etanercept (etn) with methotrexate (mtx) is better than etn monotherapy in patients with active rheumatoid arthritis despite mtx therapy: A randomized trial,Modern rheumatology
J-RAPID,"Yamamoto, 2014","Efficacy and safety of certolizumab pegol plus methotrexate in japanese rheumatoid arthritis patients with an inadequate response to methotrexate: The j-rapid randomized, placebo-controlled trial",Modern rheumatology
Kim 2007,"Kim, 2007","A randomized, double-blind, placebo-controlled, phase iii study of the human anti-tumor necrosis factor antibody adalimumab administered as subcutaneous injections in korean rheumatoid arthritis patients treated with methotrexate",APLAR Journal of Rheumatology
Kremer 2003,"Kremer, 2003",Treatment of rheumatoid arthritis by selective inhibition of t-cell activation with fusion protein ctla4ig,New England Journal of Medicine
Kremer 2005,"Kremer, 2005","Treatment of rheumatoid arthritis with the selective costimulation modulator abatacept: Twelve-month results of a phase iib, double-blind, randomized, placebo-controlled trial",Arthritis and Rheumatism
Kremer 2012,"Kremer, 2012","A phase iib dose-ranging study of the oral jak inhibitor tofacitinib (cp-690,550) versus placebo in combination with background methotrexate in patients with active rheumatoid arthritis and an inadequate response to methotrexate alone",Arthritis and Rheumatism
LARA,"Machado, 2014",Open-label observation of addition of etanercept versus a conventional disease-modifying antirheumatic drug in subjects with active rheumatoid arthritis despite methotrexate therapy in the latin american region,Journal of Clinical Rheumatology
Li 2016,"Li, 2016","Efficacy and safety results from a phase 3, randomized, placebo-controlled trial of subcutaneous golimumab in chinese patients with active rheumatoid arthritis despite methotrexate therapy",International Journal of Rheumatic Diseases
LITHE,"Kremer, 2011",Tocilizumab inhibits structural joint damage in rheumatoid arthritis patients with inadequate responses to methotrexate: Results from the double-blind treatment phase of a randomized placebo-controlled trial of tocilizumab safety and prevention of structural joint damage at one year,Arthritis and Rheumatism
Matsubara 2018,"Matsubara, 2018",Abatacept in combination with methotrexate in japanese biologic-naive patients with active rheumatoid arthritis: A randomised placebocontrolled phase iv study,Rheumatic and Musculoskeletal Diseases
Matsuno 2018a,"Matsuno, 2018","Phase iii, multicentre, double-blind, randomised, parallel-group study to evaluate the similarities between lbec0101 and etanercept reference product in terms of efficacy and safety in patients with active rheumatoid arthritis inadequately responding to methotrexate",Annals of the Rheumatic Diseases
MOBILITY,"Genovese, 2015",Sarilumab plus methotrexate in patients with active rheumatoid arthritis and inadequate response to methotrexate: Results of a phase iii study,Arthritis and Rheumatology
,"Strand, 2016",Sarilumab plus methotrexate improves patient-reported outcomes in patients with active rheumatoid arthritis and inadequate responses to methotrexate: Results of a phase iii trial,Arthritis Research and Therapy
MONARCH,"Burmester, 2017","Efficacy and safety of sarilumab monotherapy versus adalimumab monotherapy for the treatment of patients with active rheumatoid arthritis (monarch): A randomised, double-blind, parallel-group phase iii trial",Annals of the Rheumatic Diseases
,"Strand, 2018",Patient-reported outcomes from a randomized phase iii trial of sarilumab monotherapy versus adalimumab monotherapy in patients with rheumatoid arthritis,Arthritis Research and Therapy
Moreland 1999,"Mathias, 2000",Health-related quality of life and functional status of patients with rheumatoid arthritis randomly assigned to receive etanercept or placebo,Clinical Therapeutics
,"Moreland, 1999","Etanercept therapy in rheumatoid arthritis. A randomized, controlled trial",Annals of Internal Medicine
MUSASHI,"Ogata, 2014",Phase iii study of the efficacy and safety of subcutaneous versus intravenous tocilizumab monotherapy in patients with rheumatoid arthritis,Arthritis Care and Research
Niu 2011,"Niu et al, 2011",Regulatory immune responses induced by il-1 receptor antagonist in rheumatoid arthritis,Molecular Immunology
OPTION,"Smolen, 2008","Effect of interleukin-6 receptor inhibition with tocilizumab in patients with rheumatoid arthritis (option study): A double-blind, placebo-controlled, randomised trial",Lancet
ORAL SCAN,"Fleischmann, 2017",Efficacy of tofacitinib in patients with rheumatoid arthritis stratified by background methotrexate dose group,Clinical Rheumatology
,"van der Heijde, 2013","Tofacitinib (cp-690,550) in patients with rheumatoid arthritis receiving methotrexate: Twelve-month data from a twenty-four-month phase iii randomized radiographic study",Arthritis and Rheumatism
ORAL-SOLO,"Strand, 2015",Effects of tofacitinib monotherapy on patient-reported outcomes in a randomized phase 3 study of patients with active rheumatoid arthritis and inadequate responses to dmards,Arthritis Research and Therapy
ORAL-STANDARD,"Strand, 2016",Tofacitinib or adalimumab versus placebo: Patient-reported outcomes from a phase 3 study of active rheumatoid arthritis,Rheumatology
,"van Vollenhoven, 2012",Tofacitinib or adalimumab versus placebo in rheumatoid arthritis,New England Journal of Medicine
ORAL-STEP,"Burmester, 2013","Tofacitinib (cp-690,550) in combination with methotrexate in patients with active rheumatoid arthritis with an inadequate response to tumour necrosis factor inhibitors: A randomised phase 3 trial",Lancet
ORAL-STRATEGY,"Fleischmann, 2017","Efficacy and safety of tofacitinib monotherapy, tofacitinib with methotrexate, and adalimumab with methotrexate in patients with rheumatoid arthritis (oral strategy): A phase 3b/4, double-blind, head-to-head, randomised controlled trial",Lancet
ORAL-SYNC,"Kremer, 2013",Tofacitinib in combination with nonbiologic disease-modifying antirheumatic drugs in patients with active rheumatoid arthritis: A randomized trial,Annals of Internal Medicine
,"Li, 2018",Efficacy and safety of tofacitinib in chinese patients with rheumatoid arthritis,Chinese Medical Journal
,"Strand, 2017",Tofacitinib in combination with conventional disease-modifying antirheumatic drugs in patients with active rheumatoid arthritis: Patient-reported outcomes from a phase iii randomized controlled trial,Arthritis Care and Research
RA-BEACON,"Genovese, 2016",Baricitinib in patients with refractory rheumatoid arthritis,New England Journal of Medicine
,"Genovese, 2018",Response to baricitinib based on prior biologic use in patients with refractory rheumatoid arthritis,Rheumatology
,"Smolen, 2017",Patient-reported outcomes from a randomised phase iii study of baricitinib in patients with rheumatoid arthritis and an inadequate response to biological agents (ra-beacon),Annals of the Rheumatic Diseases
RA-BEAM,"Keystone, 2017",Patient-reported outcomes from a phase 3 study of baricitinib versus placebo or adalimumab in rheumatoid arthritis: Secondary analyses from the ra-beam study,Annals of the Rheumatic Diseases
,"Taylor, 2017",Baricitinib versus placebo or adalimumab in rheumatoid arthritis,New England Journal of Medicine
RA-BEAM;RA-BUILD;RA-BEACON,"Tanaka, 2018",Efficacy and safety of baricitinib in japanese patients with rheumatoid arthritis: Subgroup analyses of four multinational phase 3 randomized trials,Modern rheumatology
RA-BUILD-A; RA-BUILD-Ba,"Dougados, 2017",Baricitinib in patients with inadequate response or intolerance to conventional synthetic dmards: Results from the ra-build study,Annals of the Rheumatic Diseases
,"Emery, 2017",Patient-reported outcomes from a phase iii study of baricitinib in patients with conventional synthetic dmard-refractory rheumatoid arthritis,Rheumatic and Musculoskeletal Diseases 
RACAT,"O'Dell, 2013",Therapies for active rheumatoid arthritis after methotrexate failure,New England Journal of Medicine
RADIATE,"Emery, 2008",Il-6 receptor inhibition with tocilizumab improves treatment outcomes in patients with rheumatoid arthritis refractory to anti-tumour necrosis factor biologicals: Results from a 24-week multicentre randomised placebo-controlled trial,Annals of the Rheumatic Diseases
,"Strand, 2012",Improvements in health-related quality of life after treatment with tocilizumab in patients with rheumatoid arthritis refractory to tumour necrosis factor inhibitors: Results from the 24-week randomized controlled radiate study,Rheumatology
RAPID-1,"Keystone, 2008","Certolizumab pegol plus methotrexate is significantly more effective than placebo plus methotrexate in active rheumatoid arthritis: Findings of a fifty-two-week, phase iii, multicenter, randomized, double-blind, placebo-controlled, parallel-group study",Arthritis and Rheumatism
RAPID-2,"Smolen, 2009",Efficacy and safety of certolizumab pegol plus methotrexate in active rheumatoid arthritis: The rapid 2 study. A randomised controlled trial,Annals of the Rheumatic Diseases
,"Strand, 2011",Certolizumab pegol plus methotrexate provides broad relief from the burden of rheumatoid arthritis: Analysis of patient-reported outcomes from the rapid 2 trial,Annals of the Rheumatic Diseases
RAPID-C,"Bi, 2019","Efficacy and safety of certolizumab pegol in combination with methotrexate in methotrexate-inadequate responder chinese patients with active rheumatoid arthritis: 24-week results from a randomised, double-blind, placebo-controlled phase 3 study",Clinical and Experimental Rheumatology
RA-SCORE,"Peterfy, 2016","Mri assessment of suppression of structural damage in patients with rheumatoid arthritis receiving rituximab: Results from the randomised, placebo-controlled, double-blind ra-score study",Annals of the Rheumatic Diseases
RED SEA,"Jobanputra, 2012","A randomised efficacy and discontinuation study of etanercept versus adalimumab (red sea) for rheumatoid arthritis: A pragmatic, unblinded, non-inferiority study of first tnf inhibitor use: Outcomes over 2 years",BMJ Open
REFLEX,"Cohen, 2006","Rituximab for rheumatoid arthritis refractory to anti-tumor necrosis factor therapy: Results of a multicenter, randomized, double-blind, placebo-controlled, phase iii trial evaluating primary efficacy and safety at twenty-four weeks",Arthritis and Rheumatism
,"Keystone, 2008",Improvement in patient-reported outcomes in a rituximab trial in patients with severe rheumatoid arthritis refractory to anti-tumor necrosis factor therapy,Arthritis and Rheumatism
ROSE,"Yazici, 2012",Efficacy of tocilizumab in patients with moderate to severe active rheumatoid arthritis and a previous inadequate response to disease-modifying antirheumatic drugs: The rose study,Annals of the Rheumatic Diseases
SAMURAI,"Nishimoto, 2007","Study of active controlled monotherapy used for rheumatoid arthritis, an il-6 inhibitor (samurai): Evidence of clinical and radiographic benefit from an x ray reader-blinded randomised controlled trial of tocilizumab",Annals of the Rheumatic Diseases
SA-RA-KAKEHASI,"Tanaka, 2019","Sarilumab plus methotrexate in patients with active rheumatoid arthritis and inadequate response to methotrexate: Results of a randomized, placebo-controlled phase iii trial in japan",Arthritis Research and Therapy
SATORI,"Nishimoto, 2009",Study of active controlled tocilizumab monotherapy for rheumatoid arthritis patients with an inadequate response to methotrexate (satori): Significant reduction in disease activity and serum vascular endothelial growth factor by il-6 receptor inhibition therapy,Modern rheumatology
SELECT-BEYOND,"Genovese, 2018","Safety and efficacy of upadacitinib in patients with active rheumatoid arthritis refractory to biologic disease-modifying anti-rheumatic drugs (select-beyond): A double-blind, randomised controlled phase 3 trial",Lancet
SELECT-NEXT,"Burmester, 2018","Safety and efficacy of upadacitinib in patients with rheumatoid arthritis and inadequate response to conventional synthetic disease-modifying anti-rheumatic drugs (select-next): A randomised, double-blind, placebo-controlled phase 3 trial",Lancet
SERENE,"Emery, 2010","Efficacy and safety of different doses and retreatment of rituximab: A randomised, placebo-controlled trial in patients who are biological naive with active rheumatoid arthritis and an inadequate response to methotrexate (study evaluating rituximab's efficacy in mtx inadequate responders (serene))",Annals of the Rheumatic Diseases
,"Khan, 2011",Rituximab after methotrexate failure in rheumatoid arthritis: Evaluation of the serene trial,Expert Opinion on Biological Therapy
STAR,"Furst, 2003","Adalimumab, a fully human anti tumor necrosis factor-alpha monoclonal antibody, and concomitant standard antirheumatic therapy for the treatment of rheumatoid arthritis: Results of star (safety trial of adalimumab in rheumatoid arthritis)",Journal of rheumatology
START,"Westhovens, 2006","The safety of infliximab, combined with background treatments, among patients with rheumatoid arthritis and various comorbidities: A large, randomized, placebo-controlled trial",Arthritis and Rheumatism
Strand 2006,"Strand, 2006",Sustained benefit in rheumatoid arthritis following one course of rituximab: Improvements in physical function over 2 years,Rheumatology
SUMMACTA,"Burmester, 2014","A randomised, double-blind, parallel-group study of the safety and efficacy of subcutaneous tocilizumab versus intravenous tocilizumab in combination with traditional disease-modifying antirheumatic drugs in patients with moderate to severe rheumatoid arthritis (summacta study)",Annals of the Rheumatic Diseases
SURPRISE,"Kaneko, 2016","Comparison of adding tocilizumab to methotrexate with switching to tocilizumab in patients with rheumatoid arthritis with inadequate response to methotrexate: 52-week results from a prospective, randomised, controlled study (surprise study)",Annals of the Rheumatic Diseases
SWITCH,"Brown, 2018",Alternative tumour necrosis factor inhibitors (tnfi) or abatacept or rituximab following failure of initial tnfi in rheumatoid arthritis: The switch rct,NIHR Health Technology Assessment
Takeuchi 2013,"Takeuchi, 2013",Phase ii dose-response study of abatacept in japanese patients with active rheumatoid arthritis with an inadequate response to methotrexate,Modern rheumatology
TAME,"Greenwald, 2011",Evaluation of the safety of rituximab in combination with a tumor necrosis factor inhibitor and methotrexate in patients with active rheumatoid arthritis: Results from a randomized controlled trial,Arthritis and Rheumatism
Tanaka 2012,"Tanaka, 2012",A study on the selection of dmards for the combination therapy with adalimumab,The Kobe Journal of Medical Sciences
TARGET,"Fleischmann, 2017",Sarilumab and nonbiologic disease-modifying antirheumatic drugs in patients with active rheumatoid arthritis and inadequate response or intolerance to tumor necrosis factor inhibitors,Arthritis and Rheumatology
TEMPO,"Klareskog, 2004",Therapeutic effect of the combination of etanercept and methotrexate compared with each treatment alone in patients with rheumatoid arthritis: Double-blind randomised controlled trial,Lancet
,"van der Heijde, 2005",Comparison of different definitions to classify remission and sustained remission: 1 year tempo results,Annals of the Rheumatic Diseases
,"van der Heijde, 2006",Patient reported outcomes in a trial of combination therapy with etanercept and methotrexate for rheumatoid arthritis: The tempo trial,Annals of the Rheumatic Diseases
,"van der Heijde, 2006","Comparison of etanercept and methotrexate, alone and combined, in the treatment of rheumatoid arthritis: Two-year clinical and radiographic results from the tempo study, a double-blind, randomized trial",Arthritis and Rheumatism
TOWARD,"Genovese, 2008",Interleukin-6 receptor inhibition with tocilizumab reduces disease activity in rheumatoid arthritis with inadequate response to disease-modifying antirheumatic drugs: The tocilizumab in combination with traditional disease-modifying antirheumatic drug therapy study,Arthritis and Rheumatism
van de Putte 2004,"van de Putte, 2004",Efficacy and safety of adalimumab as monotherapy in patients with rheumatoid arthritis for whom previous disease modifying antirheumatic drug treatment has failed,Annals of the Rheumatic Diseases
VOLTAIRE-RA,"Cohen, 2018","Similar efficacy, safety and immunogenicity of adalimumab biosimilar bi 695501 and humira reference product in patients with moderately to severely active rheumatoid arthritis: Results from the phase iii randomised voltaire-ra equivalence study",Annals of the Rheumatic Diseases
Weinblatt 1999,"Weinblatt, 1999","A trial of etanercept, a recombinant tumor necrosis factor receptor: Fc fusion protein, in patients with rheumatoid arthritis receiving methotrexate",New England Journal of Medicine
Weinblatt 2018,"Weinblatt, 2018","Phase iii randomized study of sb5, an adalimumab biosimilar, versus reference adalimumab in patients with moderate-to-severe rheumatoid arthritis",Arthritis and Rheumatology