order,search_terms,results
1,"exp Arthritis, Rheumatoid/",5326
2,exp Interleukin 1 Receptor Antagonist Protein/,253
3,"(Urine Interleukin 1 Inhibitor or Antril or Kineret or Anakinra).ti,ab.",289
4,"adalimumab.ti,ab.",2529
5,"(Humira or D2E7 Antibody).ti,ab.",322
6,"certolizumab pegol.ti,ab.",446
7,"(Cimzia or Cimzias or CDP-870).ti,ab.",30
8,"etanercept.ti,ab.",1886
9,"(Enbrel or TNF Receptor Type II-IgG Fusion Protein or Recombinant Human Dimeric TNF Receptor Type II-IgG Fusion Protein).ti,ab.",211
10,"(Golimumab or CNTO-148).ti,ab.",602
11,"Simponi.ti,ab.",26
12,"infliximab.ti,ab.",2129
13,"Remicade.ti,ab.",204
14,"rituximab.ti,ab.",4112
15,"(Mabthera or Rituxan or Rituximab CD20 Antibody or IDEC-102 or IDEC-C2B8 or IDEC-C2B8-anti-CD20).ti,ab.",372
16,"abatacept.ti,ab.",610
17,"(Belatacept or Nulojix or Orenciaor BMS-188667).ti,ab.",247
18,"tocilizumab.ti,ab.",875
19,"(atlizumab or Actemra or ACTPen).ti,ab.",44
20,Sarilumab.mp.,167
21,"iguratimod.ti,ab.",41
22,"(sarilumab or Careram or Kolbet or T-614 or Kevzara or REGN-88 or SAR-153191).ti,ab.",178
23,"tofacitinib.ti,ab.",517
24,"(tasocitinib or tofacitinib citrate or Xeljanz or Cp-690,550 or CP-690550 or Jaquinus).ti,ab.",123
25,baricitinib.mp.,279
26,"(LY309104 or INCB028050 or Olumiant).ti,ab.",28
27,upadacitinib.mp.,97
28,"ABT-494.ti,ab.",82
29,methotrexate.mp.,10721
30,"(amethopterin or mexate or methotrexate or Otrexup or VIBEX MTX or DepoMethotrexate or Jylamvo).ti,ab.",8915
31,sulfasalazine.mp.,962
32,"(sulfasalazine or salicylazosulfapyridine or salazosulfapyridine or Pyralin or azulfadine or asulfidine or Colo-Pleon or Colo Pleon or Pleon or Ulcol or sulfasalazin or Ucine or salazopyrin).ti,ab.",841
33,hydroxychloroquine.mp.,912
34,"(hydroxychloroquine or oxychlorochin or oxychloroquine or hydroxychlorochin or plaquenil).ti,ab.",751
35,(29 or 30) and (31 or 32) and (33 or 34),192
36,"triple therapy.ti,ab.",2896
37,"or/2-28,35-36",15492
38,1 and 37,1090