Trial,Treatment,ACR 20,ACR 50,ACR 70,cfb DAS28 (se),cfb HAQ-DI (se)
ACQUIRE,ABT (10mg/kg IV) + cDMARD,535/721 (74.3%),350/721 (48.6%),174/721 (24.2%),-2.57 (0.05),-0.7 (0.02)
ACQUIRE,ABT (125mg SC) + cDMARD,550/736 (74.8%),369/736 (50.2%),189/736 (25.8%),-2.55 (0.05),-0.69 (0.02)
ACT-RAY,TOC (8mg/kg IV),194/276 (70.3%),110/276 (40.2%),70/276 (25.4%),-3.21 (0.08),-0.55 (0.03)
ACT-RAY,TOC (8mg/kg IV) + cDMARD,198/277 (71.5%),126/277 (45.5%),67/277 (24.5%),-3.43 (0.08),-0.56 (0.04)
ADACTA,ADA (40mg SC),80/162 (49.4%),45/162 (27.8%),29/162 (17.9%),-1.8 (0.11),-0.5 (0.09)
ADACTA,TOC (8mg/kg IV),106/163 (65%),77/163 (47.2%),53/163 (32.5%),-3.3 (0.11),-0.7 (0.09)
AIM,ABT (10mg/kg IV) + cDMARD,287/424 (67.9%),169/424 (39.9%),83/424 (19.8%),-2.38 (0.06),-0.62 (0.03)
AIM,cDMARD,84/214 (39.7%),35/214 (16.8%),13/214 (6.5%),-1.29 (0.09),-0.52 (0.05)
AMPLE,ABT (125mg SC) + cDMARD,210/318 (66.2%),128/318 (40.5%),67/318 (21.2%),-2.06 (0.08),
AMPLE,ADA (40mg SC) + cDMARD,217/328 (66.2%),132/328 (40.5%),76/328 (23.2%),-2.12 (0.07),
ARMADA,cDMARD,9/62 (14.5%),5/62 (8.1%),3/62 (4.8%),,-0.27 (0.07)
ARMADA,ADA (20mg SC) + cDMARD,33/69 (47.8%),22/69 (31.9%),7/69 (10.1%),,-0.54 (0.07)
ARMADA,ADA (40mg SC) + cDMARD,45/67 (67.2%),37/67 (55.2%),18/67 (26.9%),,-0.62 (0.08)
ARMADA,ADA (80mg SC) + cDMARD,48/73 (65.8%),31/73 (42.5%),14/73 (19.2%),,-0.59 (0.06)
ATTEST,cDMARD,45/110 (41.8%),22/110 (20%),10/110 (9.1%),-1.48 (0.15),-0.31 (0.06)
ATTEST,ABT (10mg/kg IV) + cDMARD,104/156 (66.7%),63/156 (40.4%),31/156 (20.5%),-2.53 (0.12),-0.69 (0.05)
ATTEST,IFX (3mg/kg IV Q8WEEK) + cDMARD,98/165 (59.4%),61/165 (37%),39/165 (24.2%),-2.25 (0.12),-0.61 (0.05)
ATTRACT,cDMARD,20/88 (22.9%),NA/88 (NA%),NA/88 (NA%),,
ATTRACT,IFX (10mg/kg IV Q4WEEK) + cDMARD,39/87 (44.9%),NA/87 (NA%),NA/87 (NA%),,
ATTRACT,IFX (10mg/kg IV Q8WEEK) + cDMARD,43/81 (53.8%),NA/81 (NA%),NA/81 (NA%),,
ATTRACT,IFX (3mg/kg IV Q4WEEK) + cDMARD,49/86 (57.5%),NA/86 (NA%),NA/86 (NA%),,
ATTRACT,IFX (3mg/kg IV Q8WEEK) + cDMARD,46/86 (53.7%),NA/86 (NA%),NA/86 (NA%),,
Bao 2011,cDMARD,2/12 (17%),0/12 (0%),0/12 (0%),-1.28 (0.23),
Bao 2011,ANA (80mg SC) + cDMARD,27/42 (64%),15/42 (38%),7/42 (17%),-1.69 (0.3),
CHANGE,ADA (20mg SC Q2WEEK),25/87 (28.7%),14/87 (16.1%),9/87 (10.3%),,-0.2 (0.05)
CHANGE,ADA (40mg SC),40/91 (44%),22/91 (24.2%),11/91 (12.1%),,-0.2 (0.06)
CHANGE,ADA (80mg SC),44/87 (50.6%),28/87 (32.2%),13/87 (14.9%),,-0.4 (0.06)
CHANGE,Placebo,12/87 (13.8%),5/87 (5.7%),1/87 (1.1%),,0.1 (0.06)
Choy 2012,cDMARD,27/119 (22.9%),7/119 (5.9%),2/119 (1.7%),,-0.09 (0.1)
Choy 2012,CTZ (400mg SC) + cDMARD,56/124 (45.9%),22/124 (18%),0/124 (0%),,-0.32 (0.1)
Cohen 2002,cDMARD,11/48 (23%),1/48 (4%),0/48 (0%),,-0.15 (0.18)
Cohen 2002,ANA (0.04mg/kg SC) + cDMARD,11/63 (19%),8/63 (13%),3/63 (5%),,
Cohen 2002,ANA (0.1mg/kg SC) + cDMARD,13/46 (30%),9/46 (20%),3/46 (7%),,
Cohen 2002,ANA (0.4mg/kg SC) + cDMARD,19/55 (36%),6/55 (11%),1/55 (2%),,
Cohen 2002,ANA (1mg/kg SC) + cDMARD,24/59 (42%),14/59 (24%),5/59 (10%),,-0.37 (0.17)
Cohen 2002,ANA (2mg/kg SC) + cDMARD,16/46 (35%),7/46 (17%),3/46 (7%),,-0.51 (0.2)
Cohen 2004,cDMARD,55/251 (22%),20/251 (8%),5/251 (2%),,-0.18 (0.03)
Cohen 2004,ANA (100mg SC) + cDMARD,95/250 (38%),42/250 (17%),15/250 (6%),,-0.29 (0.03)
Cohen 2018,IFX-Pfizer (3mg/kg IV) + cDMARD,,,,,-0.595 (0.06)
Cohen 2018,IFX (3mg/kg IV Q8WEEK) + cDMARD,,,,,-0.571 (0.06)
De Filippis 2006,ETN (50mg SC) + cDMARD,9/15 (60%),3/15 (25.8%),NA/15 (NA%),,
De Filippis 2006,IFX (3mg/kg IV Q8WEEK) + cDMARD,9/15 (60%),4/15 (32.4%),NA/15 (NA%),,
DE019,cDMARD,59/200 (29.5%),19/200 (9.5%),5/200 (2.5%),,-0.24 (0.04)
DE019,ADA (20mg SC) + cDMARD,129/212 (60.8%),87/212 (41%),37/212 (17.5%),,-0.6 (0.04)
DE019,ADA (40mg SC) + cDMARD,131/207 (63.3%),81/207 (39.1%),43/207 (20.8%),,-0.56 (0.04)
Edwards 2004,cDMARD,15/40 (38%),5/40 (13%),2/40 (5%),-1.3 (0.19),
Edwards 2004,RTX (1000mg IV),26/40 (65%),13/40 (33%),6/40 (15%),-2.2 (0.22),
Edwards 2004,RTX (1000mg IV) + cDMARD,29/40 (73%),17/40 (43%),9/40 (23%),-2.6 (0.21),
Emery 2017,ETN-SB4 (50mg SC) + cDMARD,220/299 (73.8%),128/299 (43%),69/299 (23.2%),-2.6 (0.08),
Emery 2017,ETN (50mg SC) + cDMARD,213/297 (71.7%),116/297 (39.1%),59/297 (19.9%),-2.5 (0.08),
EQUIRA,ETN-GP2015 (50mg SC) + cDMARD,147/168 (88%),107/168 (64.1%),56/168 (33.5%),-2.78 (0.1),-0.57 (0.09)
EQUIRA,ETN (50mg SC) + cDMARD,143/155 (92.9%),110/155 (71%),66/155 (42.6%),-2.78 (0.11),-0.67 (0.09)
ETN Study 309,cDMARD,14/50 (28%),7/50 (14%),1/50 (2%),-0.8 (0.19),
ETN Study 309,ETN (50mg SC),76/103 (73.8%),47/103 (46.6%),22/103 (21.4%),-2.38 (0.13),
ETN Study 309,ETN (50mg SC) + cDMARD,74/100 (74%),52/100 (52%),25/100 (25%),-2.48 (0.14),
FAST4WARD,CTZ (400mg SC),50/111 (45.5%),25/111 (22.7%),6/111 (5.5%),,-0.36 (0.11)
FAST4WARD,Placebo,10/109 (9.3%),4/109 (3.7%),0/109 (0%),,0.13 (0.11)
Fleischmann 2012,Placebo,14/59 (25.4%),6/59 (10.2%),4/59 (6.8%),-1.43 (0.18),-0.37 (0.16)
Fleischmann 2012,TOF (10mg PO),39/61 (65.5%),27/61 (44.3%),22/61 (37.7%),-2.85 (0.17),-0.72 (0.15)
Fleischmann 2012,TOF (15mg PO),38/57 (66.7%),31/57 (54.4%),18/57 (33.3%),-2.83 (0.18),-0.82 (0.15)
Fleischmann 2012,TOF (1mg PO),13/54 (24.1%),3/54 (7.4%),3/54 (5.6%),-1.04 (0.18),
Fleischmann 2012,TOF (3mg PO),19/51 (37.3%),14/51 (27.5%),6/51 (13.7%),-2.02 (0.19),
Fleischmann 2012,TOF (5mg PO),24/49 (51%),17/49 (34.7%),9/49 (20.4%),-2.35 (0.19),
Fleischmann 2018,ADA-Pfizer (40mg SC) + cDMARD,251/297 (84.6%),180/297 (60.9%),89/297 (30.3%),-2.77 (0.08),-0.654 (0.06)
Fleischmann 2018,ADA (40mg SC) + cDMARD,236/300 (78.7%),167/300 (55.7%),94/300 (31.4%),-2.85 (0.08),-0.674 (0.06)
GO-FORTH,cDMARD,29/88 (33%),13/88 (14.8%),5/88 (5.7%),-0.6 (0.15),-0.03 (0.06)
GO-FORTH,GOL (100mg SC) + cDMARD,65/87 (74.7%),42/87 (48.3%),19/87 (21.8%),-2.04 (0.12),-0.45 (0.05)
GO-FORTH,GOL (50mg SC) + cDMARD,61/86 (70.9%),36/86 (41.9%),23/86 (26.7%),-2.05 (0.13),-0.33 (0.05)
GO-FORWARD,cDMARD,37/133 (27.8%),18/133 (13.5%),7/133 (5.3%),,-0.13 (0.05)
GO-FORWARD,GOL (100mg SC),47/133 (35.3%),26/133 (19.5%),15/133 (11.3%),,-0.24 (0.06)
GO-FORWARD,GOL (100mg SC) + cDMARD,53/89 (59.6%),29/89 (32.6%),13/89 (14.6%),,-0.45 (0.06)
GO-FORWARD,GOL (50mg SC) + cDMARD,53/89 (59.6%),33/89 (37.1%),18/89 (20.2%),,-0.47 (0.06)
GO-FURTHER,cDMARD,62/197 (31.6%),26/197 (13.2%),8/197 (4.1%),-0.8 (0.1),-0.21 (0.04)
GO-FURTHER,GOL (2mg/kg IV) + cDMARD,255/395 (64.6%),138/395 (34.9%),69/395 (17.7%),-2 (0.07),-0.53 (0.03)
GO-LIVE,cDMARD,32/129 (24.8%),12/129 (9.3%),4/129 (3.1%),,
GO-LIVE,GOL (2/4mg/kg IV),67/257 (26.1%),26/257 (10.1%),12/257 (4.7%),,
GO-LIVE,GOL (2/4mg/kg IV) + cDMARD,112/257 (43.6%),56/257 (21.8%),18/257 (7%),,
GO-LIVE,GOL (2mg/kg IV),29/128 (22.7%),11/128 (8.6%),4/128 (3.1%),,
GO-LIVE,GOL (2mg/kg IV) + cDMARD,48/129 (37.2%),24/129 (18.6%),8/129 (6.2%),,
GO-LIVE,GOL (4mg/kg IV),38/129 (29.5%),15/129 (11.6%),8/129 (6.2%),,
GO-LIVE,GOL (4mg/kg IV) + cDMARD,64/128 (50%),32/128 (25%),10/128 (7.8%),,
HIKARI,cDMARD,12/114 (11.4%),6/114 (6.1%),1/114 (0.9%),-0.21 (0.12),0.12 (0.05)
HIKARI,CTZ (200mg SC) + cDMARD,74/116 (63.8%),54/116 (46.6%),30/116 (25.9%),-2.06 (0.12),-0.48 (0.05)
Iwahashi 2014,ABT (10mg/kg IV) + cDMARD,49/59 (83.1%),36/59 (62.7%),17/59 (30.5%),-2.75 (0.18),-0.61 (0.15)
Iwahashi 2014,ABT (125mg SC) + cDMARD,53/59 (91.5%),38/59 (66.1%),22/59 (37.3%),-2.97 (0.18),-0.62 (0.15)
J-RAPID,cDMARD,19/77 (24.7%),13/77 (16.9%),1/77 (1.3%),-0.63 (0.15),-0.18 (0.06)
J-RAPID,CTZ (100mg SC) + cDMARD,43/72 (61.1%),31/72 (44.4%),19/72 (26.4%),-2.11 (0.16),-0.43 (0.06)
J-RAPID,CTZ (200mg SC) + cDMARD,60/82 (73.2%),45/82 (54.9%),24/82 (29.3%),-2.46 (0.15),-0.55 (0.05)
J-RAPID,CTZ (400mg SC) + cDMARD,61/85 (71.8%),45/85 (54.1%),26/85 (30.6%),-2.69 (0.14),-0.57 (0.05)
Jamshidi 2017,ADA-Cinnora (40mg SC) + cDMARD,62/68 (92%),52/68 (77%),31/68 (47%),-2.93 (0.16),
Jamshidi 2017,ADA (40mg SC) + cDMARD,60/68 (89%),51/68 (75%),36/68 (53%),-2.92 (0.16),
JESMR,ETN (50mg SC),44/69 (63.8%),32/69 (47.8%),18/69 (26.1%),,
JESMR,ETN (50mg SC) + cDMARD,65/73 (90.4%),47/73 (64.4%),28/73 (38.4%),,
Kim 2007,cDMARD,23/63 (36.5%),9/63 (14.3%),4/63 (7.9%),,-0.2 (0.06)
Kim 2007,ADA (40mg SC),40/65 (61.5%),28/65 (43.1%),13/65 (21.5%),,-0.5 (0.07)
Kremer 2003,cDMARD,42/119 (35.3%),14/119 (11.8%),2/119 (1.7%),,
Kremer 2003,ABT (10mg/kg IV) + cDMARD,69/115 (60%),41/115 (36.5%),18/115 (16.5%),,
Kremer 2003,ABT (2mg/kg IV) + cDMARD,43/105 (41.9%),24/105 (22.9%),11/105 (10.5%),,
Kremer 2012,cDMARD,23/69 (34.4%),14/69 (21.2%),7/69 (10.3%),,
Kremer 2012,TOF (10mg PO) + cDMARD,40/74 (55%),24/74 (33.1%),15/74 (21.1%),,
Kremer 2012,TOF (15mg PO) + cDMARD,43/75 (58.6%),31/75 (42%),26/75 (34.7%),,
Kremer 2012,TOF (1mg PO) + cDMARD,28/70 (41.4%),20/70 (29.6%),16/70 (23.4%),,
Kremer 2012,TOF (20mg PO) + cDMARD,42/80 (52.7%),30/80 (38.2%),18/80 (23.3%),,
Kremer 2012,TOF (3mg PO) + cDMARD,35/68 (52.8%),17/68 (26.2%),15/68 (22.6%),,
Kremer 2012,TOF (5mg PO) + cDMARD,33/71 (47.6%),22/71 (32.2%),16/71 (23.5%),,
LARA,cDMARD,71/142 (50%),33/142 (23.2%),16/142 (11.3%),-1.7 (0.12),-0.5 (0.1)
LARA,ETN (50mg SC) + cDMARD,232/279 (83.2%),173/279 (62%),97/279 (34.8%),-3.2 (0.09),-0.9 (0.1)
Li 2016,cDMARD,21/132 (15.9%),9/132 (6.8%),2/132 (1.5%),,0.15 (0.06)
Li 2016,GOL (50mg SC) + cDMARD,56/132 (42.4%),25/132 (18.9%),8/132 (6.1%),,-0.26 (0.05)
LITHE,cDMARD,106/393 (27%),38/393 (9.7%),7/393 (2%),-1.49 (0.09),-0.32 (0.03)
LITHE,TOC (4mg/kg IV) + cDMARD,201/399 (50.6%),100/399 (25.1%),43/399 (11%),-2.45 (0.08),-0.45 (0.03)
LITHE,TOC (8mg/kg IV) + cDMARD,224/398 (56.3%),128/398 (32.2%),50/398 (12.6%),-3.28 (0.08),-0.51 (0.03)
Matsubara 2018,cDMARD,47/202 (23.3%),27/202 (13.4%),10/202 (5%),-0.48 (0.1),
Matsubara 2018,ABT (10mg/kg IV) + cDMARD,145/203 (71.9%),110/203 (54.2%),68/203 (33.5%),-2.26 (0.09),
MOBILITY,cDMARD,133/398 (33.4%),67/398 (17%),27/398 (7%),,-0.32 (0.03)
MOBILITY,SAR (150mg SC) + cDMARD,232/400 (58%),148/400 (37%),80/400 (20%),,-0.56 (0.03)
MOBILITY,SAR (200mg SC) + cDMARD,265/399 (66.4%),183/399 (46%),99/399 (25%),,-0.57 (0.03)
MONARCH,ADA (40mg SC),108/185 (58.4%),55/185 (29.7%),22/185 (11.9%),-1.97 (0.09),-0.43 (0.05)
MONARCH,SAR (200mg SC),132/184 (71.7%),84/184 (45.7%),43/184 (23.4%),-2.86 (0.09),-0.61 (0.05)
Moreland 1999,ETN (10mg SC),38/76 (51%),18/76 (24%),6/76 (9%),,-0.696 (0.13)
Moreland 1999,ETN (50mg SC),46/78 (59%),31/78 (40%),11/78 (15%),,-0.651 (0.13)
Moreland 1999,Placebo,8/80 (11%),4/80 (5%),0/80 (1%),,-0.132 (0.12)
Niu 2011,cDMARD,6/12 (54.5%),1/12 (9.1%),1/12 (9.1%),,
Niu 2011,ANA (80mg SC) + cDMARD,25/38 (66.7%),17/38 (47.2%),13/38 (36.1%),,
OPTION,cDMARD,54/204 (26%),22/204 (11%),4/204 (2%),-1.52 (0.12),-0.34 (0.11)
OPTION,TOC (4mg/kg IV) + cDMARD,102/213 (48%),67/213 (31%),26/213 (12%),-2.74 (0.11),-0.52 (0.1)
OPTION,TOC (8mg/kg IV) + cDMARD,120/205 (59%),90/205 (44%),45/205 (22%),-3.4 (0.1),-0.55 (0.09)
ORAL-SCAN,cDMARD,,,,,-0.25 (0.2)
ORAL-SCAN,TOF (10mg PO) + cDMARD,,,,,-0.62 (0.11)
ORAL-SCAN,TOF (5mg PO) + cDMARD,,,,,-0.56 (0.13)
ORAL-STANDARD,cDMARD,30/106 (28.3%),12/106 (12.26%),2/106 (1.89%),,
ORAL-STANDARD,ADA (40mg SC) + cDMARD,94/199 (47.2%),55/199 (27.64%),18/199 (9.05%),,-0.52 (0.08)
ORAL-STANDARD,TOF (10mg PO) + cDMARD,103/196 (52.6%),67/196 (34.69%),41/196 (21.04%),,-0.61 (0.08)
ORAL-STANDARD,TOF (5mg PO) + cDMARD,101/196 (51.5%),71/196 (36.73%),39/196 (19.9%),,-0.58 (0.08)
ORAL-STRATEGY,ADA (40mg SC) + cDMARD,274/386 (71%),169/386 (44%),80/386 (21%),-2.51 (0.07),-0.5 (0.03)
ORAL-STRATEGY,TOF (5mg PO),249/384 (65%),147/384 (38%),70/384 (18%),-2.11 (0.07),-0.5 (0.03)
ORAL-STRATEGY,TOF (5mg PO) + cDMARD,275/376 (73%),173/376 (46%),94/376 (25%),-2.31 (0.07),-0.6 (0.03)
RA-BEAM,cDMARD,179/488 (37%),94/488 (19%),39/488 (8%),-1.13 (0.06),-0.35 (0.56)
RA-BEAM,ADA (40mg SC) + cDMARD,219/330 (66%),150/330 (45%),72/330 (22%),-2.27 (0.08),-0.63 (0.61)
RA-BEAM,BCT (4mg PO) + cDMARD,360/487 (74%),246/487 (51%),145/487 (30%),-2.53 (0.06),-0.75 (0.65)
RA-BUILD-A,cDMARD,48/109 (44%),22/109 (20%),NA/109 (NA%),,
RA-BUILD-A,BCT (2mg PO) + cDMARD,72/111 (65%),47/111 (42%),NA/111 (NA%),,
RA-BUILD-A,BCT (4mg PO) + cDMARD,76/114 (67%),48/114 (42%),NA/114 (NA%),,
RA-BUILD-B,BCT (2mg PO),9/18 (50%),7/18 (39%),NA/18 (NA%),,
RA-BUILD-B,BCT (4mg PO),7/13 (54%),5/13 (38%),NA/13 (NA%),,
RA-BUILD-B,Placebo,2/17 (12%),2/17 (12%),NA/17 (NA%),,
RA-SCORE,cDMARD,18/63 (28.6%),6/63 (11.1%),1/63 (1.6%),-0.85 (0.17),-0.19 (0.14)
RA-SCORE,RTX (1000mg IV) + cDMARD,31/60 (51.7%),16/60 (26.7%),4/60 (8.3%),-1.64 (0.17),-0.44 (0.14)
RA-SCORE,RTX (500mg IV) + cDMARD,31/62 (51.6%),15/62 (24.2%),7/62 (11.3%),-1.69 (0.17),-0.425 (0.14)
RACAT,ETN (50mg SC) + cDMARD,90/163 (55.2%),58/163 (35.6%),26/163 (16%),-2.06 (0.11),-0.51 (0.07)
RACAT,SSZ + HCQ + MTX,89/159 (56%),41/159 (25.8%),8/159 (5%),-1.79 (0.1),-0.44 (0.06)
RAPID-1,cDMARD,27/199 (13.6%),15/199 (7.6%),5/199 (3%),,
RAPID-1,CTZ (200mg SC) + cDMARD,228/393 (58.8%),145/393 (37.1%),84/393 (21.4%),,
RAPID-1,CTZ (400mg SC) + cDMARD,236/390 (60.8%),155/390 (39.9%),80/390 (20.6%),,
RAPID-2,cDMARD,11/127 (8.7%),3/127 (3.1%),1/127 (0.8%),-0.5 (0.09),-0.14 (0.04)
RAPID-2,CTZ (200mg SC) + cDMARD,140/246 (57.3%),79/246 (32.5%),39/246 (15.9%),-2.27 (0.09),-0.5 (0.03)
RAPID-2,CTZ (400mg SC) + cDMARD,141/246 (57.6%),81/246 (33.1%),26/246 (10.6%),-2.46 (0.08),-0.5 (0.03)
SATORI,cDMARD,16/64 (25%),6/64 (10.9%),4/64 (6.3%),,-0.434 (0.14)
SATORI,TOC (8mg/kg IV),48/61 (80.3%),30/61 (49.2%),17/61 (29.5%),,-0.621 (0.14)
SELECT-NEXT,cDMARD,79/221 (36%),33/221 (15%),13/221 (6%),-1.02 (0.09),-0.26 (0.08)
SELECT-NEXT,UPA (15mg PO) + cDMARD,141/221 (64%),83/221 (38%),46/221 (21%),-2.25 (0.09),-0.61 (0.08)
SELECT-NEXT,UPA (30mg PO) + cDMARD,145/219 (66%),94/219 (43%),59/219 (27%),-2.38 (0.09),-0.55 (0.08)
SERENE,cDMARD,40/172 (23.3%),15/172 (9.3%),8/172 (5.2%),-0.75 (0.1),
SERENE,RTX (1000mg IV) + cDMARD,86/170 (50.6%),44/170 (25.9%),17/170 (10%),-1.69 (0.1),
SERENE,RTX (500mg IV) + cDMARD,91/167 (54.5%),43/167 (26.3%),15/167 (9%),-1.76 (0.1),
STAR,cDMARD,110/318 (34.9%),35/318 (11.3%),11/318 (3.5%),,
STAR,ADA (40mg SC) + cDMARD,167/318 (52.8%),91/318 (28.9%),47/318 (14.8%),,
START,cDMARD,87/361 (25.5%),33/361 (9.7%),16/361 (4.7%),,
START,IFX (10mg/kg IV) + cDMARD,205/361 (61%),119/361 (35.4%),54/361 (16.1%),,
START,IFX (3mg/kg IV Q8WEEK) + cDMARD,199/360 (58%),110/360 (32.1%),48/360 (14%),,
SURPRISE,TOC (8mg/kg IV),77/111 (69.4%),60/111 (54.1%),37/111 (34.2%),-2.7 (0.14),-0.4 (0.06)
SURPRISE,TOC (8mg/kg IV) + cDMARD,86/115 (74.8%),63/115 (54.8%),37/115 (33%),-2.9 (0.12),-0.4 (0.05)
Takeuchi 2013a,ABT (10mg/kg IV) + cDMARD,47/61 (77%),28/61 (45.9%),13/61 (21.3%),-2.5 (0.17),-0.53 (0.14)
Takeuchi 2013a,ABT (2mg/kg IV) + cDMARD,42/67 (62.7%),25/67 (37.3%),11/67 (16.4%),-1.8 (0.17),-0.34 (0.14)
Takeuchi 2013a,cDMARD,14/66 (21.2%),4/66 (6.1%),0/66 (0%),-0.7 (0.17),-0.1 (0.14)
TEMPO,cDMARD,167/228 (73.5%),91/228 (40.1%),34/228 (15.2%),,-0.631 (0.07)
TEMPO,ETN (50mg SC),182/223 (82%),130/223 (58.5%),79/223 (35.5%),,-0.688 (0.07)
TEMPO,ETN (50mg SC) + cDMARD,163/231 (70.6%),92/231 (40.1%),38/231 (16.6%),,-0.893 (0.07)
TOWARD,cDMARD,101/413 (24.5%),37/413 (9%),11/413 (2.9%),-1.16 (0.07),-0.2 (0.05)
TOWARD,TOC (8mg/kg IV) + cDMARD,488/803 (60.8%),301/803 (37.6%),164/803 (20.5%),-3.17 (0.05),-0.5 (0.04)
van de Putte 2004,ADA (20mg SC Q2WEEK),34/106 (32.5%),16/106 (15.8%),8/106 (8.31%),-1.3 (0.16),-0.29 (0.06)
van de Putte 2004,ADA (20mg SC QWEEK),41/112 (37%),22/112 (20.2%),10/112 (9.73%),-1.6 (0.16),-0.39 (0.06)
van de Putte 2004,ADA (40mg SC QWEEK),56/103 (55%),34/103 (33.8%),18/103 (18.2%),-2 (0.16),-0.49 (0.05)
van de Putte 2004,ADA (40mg SC),48/113 (43.2%),25/113 (22.9%),13/113 (12.3%),-1.7 (0.15),-0.38 (0.06)
van de Putte 2004,Placebo,21/110 (19.8%),9/110 (8.89%),1/110 (1.8%),-0.7 (0.12),-0.07 (0.05)
Weinblatt 1999,cDMARD,8/30 (27%),0/30 (3%),0/30 (0%),,
Weinblatt 1999,ETN (50mg SC),41/59 (71%),23/59 (39%),8/59 (15%),,
Weinblatt 2018,ADA-SB5 (40mg SC) + cDMARD,183/269 (68%),98/269 (36.4%),47/269 (17.5%),-2.74 (0.08),
Weinblatt 2018,ADA (40mg SC) + cDMARD,184/273 (67.4%),100/273 (36.6%),50/273 (18.3%),-2.68 (0.08),